"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 69)"

59.,GTK Road,Near Timarpur Parking,03.05.2023,

-- Table 2 --
60.,Inside Pragati Maidan,"Inside Pragati Maidan near
Convention Centre","27.05.2023
08.07.2023",
61.,Jaitpur Road,Near Hari Cycle cut,30.03.2023,
62.,Kanhiya Nagar,Kanhiya Nagar,"08.07.2023
09.07.2023",
63.,Kanjhawala Road,Begampur Village,01.05.2023,
64.,Kartavya Marg,Boat Club,09.07.2023,
65.,Kautilya Marg,Near Fire Station,08.07.2023,
66.,Kautilya Marg,R/A Samrat Hotel,"08.07.2023
28.06.2024
26.07.2024",
67.,Kemal Ataturk Marg,Bhinder Point,"08.07.2023
09.07.2023",
68.,Kemal Ataturk Marg,Kemal Ataturk Marg,08.07.2023,
69.,Khalsa Road,Khalsa Road,08.07.2023,
70.,KN Katju Marg (KNK),KN Katju Marg (KNK),08.07.2023,
71.,Lodhi Road,JLN Red Light,09.07.2023,
72.,"Loni Road (Both
Carriageway)",Near RTO Loni Gol Chakkar,"18.03.2023
20.03.2023
08.07.2023
23.09.2023",
73.,Lothian Road,"Priyadarshini College,
Kashmere Gate",09.07.2023,
74.,"Maharaja Surajmal
Marg","Jagatpuri, Near SBI Bank",09.07.2023,
75.,"Maharaja Surajmal
Marg Road No.58","At community center
Karkardooma court near Yes
Bank",27.05.2023,
76.,"Major Hoshiyar Singh
Marg",Near Sarojini Nagar cut,05.07.2023,
77.,Major Sudesh Marg,"Major Sudesh Marg Junction,
Rajouri Garden",04.07.2023,
78.,Mandi House R/A,Mandi House R/A,10.09.2023,
79.,Mata Mandir Road,"Mata Mandir Road to NFC
Light",08.07.2023,
80.,Mathura Road,"Apollo Red Light from
Badarpur to Ashram",08.07.2023,
81.,Mathura Road,"Ashram Chowk towards Neela
Gumband",10.09.2023,
82.,Mathura Road,"Gate No. 10, Pragati Maidan",08.07.2023,
83.,Mathura Road,"Gate No.6, Pragati Maidan","27.05.2023
06.07.2023
08.07.2023
09.07.2023
10.09.2023",
84.,Mathura Road,"Gate No.7, Pragati Maidan","06.07.2023
08.07.2023
09.07.2023
10.09.2023",
85.,Mathura Road,Near Okhla Tank,01.05.2023,
86.,Mathura Road,Sarita Vihar Chowk,"08.07.2023
09.07.2023",
87.,Mathura Road,Sundar Nagar,01.05.2023,
