"Title: Water Logging Locations - 2024 (continued) (Source: Delhi Flood Control Order, 2025 - Page 82)"

120.,Ring Road,Aatma Ram College to Naraina,26.07.2024
121.,Ring Road,Ashram Underpass,"28.06.2024
31.07.2024
11.09.2024"
122.,Ring Road,Dhaula Kuan,"28.06.2024
23.08.2024"
123.,Ring Road,"Durgabai Deshmukh South
Campus Metro Station",12.08.2024
124.,Ring Road,"ESI Hospital near Rajdhani
College",24.07.2024
125.,Ring Road,Infront of Peeragarhi Village,08.08.2024
126.,Ring Road,Rose Garden,28.06.2024
127.,Ring Road,Sarai Kale Khan towards ITO,07.08.2024
128.,Ring Road,Under Delhi Cantt. Metro Station,13.08.2024
129.,Ring Road,"Under Moti Bagh flyover &
under RTR flyover",26.07.2024
130.,"Road No. 201, Dwarka",Rajapuri to Madhu Vihar,16.08.2024
131.,Rohta k Road,"Mundka to Tikri Border /
Mundka Metro Station / Mundka
Red light","22.07.2024
24.07.2024
31.07.2024
02.09.2024
04.09.2024
10.09.2024
14.09.2024"
132.,Rohta k Road,"Nangloi to Mundka / Mundka to
Rajdhani Park / Rajdhani Park
to Mundka both carriageway","04.07.2024
07.08.2024
09.07.2024
08.08.2024
09.08.2024
11.08.2024
12.08.2024
20.08.2024
23.08.2024
07.09.2024"
133.,Rohta k Road,"Nangloi to Peeragarhi
carriageway",08.08.2024
134.,Rohta k Road,"Peeragarhi Chowk / Slip Road
Peeragarhi Chowk towards
Punjabi Bagh while coming from
Mangolpuri side","27.06.2024
15.07.2024
07.08.2024
20.08.2024"
135.,Rohta k Road,"Rajdhani Park to Mundka Metro
Station",29.08.2024
136.,Sake t Road,A01 Block,28.06.2024
137.,Sarda r Patel Marg,Taj Place to Dhaula Kuan,"28.06.2024
26.07.2024"
138.,Satya Marg,Satya Marg,26.07.2024
139.,"Secto r 14 Road, Dwarka","Adjacent to Dwarka Sector 14
Metro Station (both side), slip
roads provided for ‘U’ turns","11.08.2024
12.08.2024
13.08.2024"
140.,"Secto r 14 Road, Dwarka","Near Metro Pillar No. 950A near
roundabout Vegas Mall",11.08.2024
141.,"Secto r 14 Road, Dwarka",Near Vegas Mall,31.07.2024
142.,"Secto r 14 Road, Dwarka",Roundabout Golf Course Road,31.07.2024
