"Title: Annexure D - Embankment Lengths and Maximum Water Levels (MWL) (Source: Delhi Flood Control Order, 2025 - Page 38)"

"Sl.
No.","Name of
Embankment","Length
of
Embank
- ment
in mtrs.)","Top
Width
of
Embank
- ment
(in mtrs.)","Max Water
Level
1978
(in Mtrs.)","MWL
in
1988
(in Mtrs.)","MWL
in
1995
(in
Mtrs.)","MWL
in
2010
(in Mtrs.)","MWL
in
2013
(in Mtrs.)","MWL
in
2019
(in Mtrs.)","MWL
in
2023
(in Mtrs.)"
9.,"R.M.E. Madanpur
Khadar",3550,5,-,"203.800
at RD
0m","201.420
at RD
3000m",200.875,"200.15
at
RD.180","198.90
at RD.180","200.70 at
RD 180
Mts"
,,,,,"202.130
at RD
3500 m",,200.875,199.625,,
10,L.F. Bund,5750,10,,"210.000
at RD
0 m
211.800
at RD
5750m",208.200,,,208.350,
11,"S.M. Bund
(with PWD /
NHAI)",11900,15,,209.00,207.000,,,,
