"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 73)"

162.,Press Enclave Road,"Near Hauz Rani Red Light Max
Hospital Gate No.5&6/ Mandir
Marg","30.05.2023
08.07.2023
09.07.2023
10.09.2023
02.09.2024",
163.,Purana Quila Road,Purana Quila Road,08.07.2023,
164.,PUSA Road,Karol Bagh Metro Station,"09.07.2023
22.07.2024",
165.,PUSA Road,R/A Bagga Link,"08.07.2023
09.07.2023",
166.,Pusta Road,"Roundabout Jhandewalan/
Bagga Link, Near Hanuman
Murti/ Near Bagga Link Service
Station","18.03.2023
20.03.2023
30.03.2023
27.06.2023",
167.,Pusta Road,"Service Road, Geeta Colony",09.07.2023,
168.,R.K. Ashram Marg,R.K. Ashram Marg,"08.07.2023
09.07.2023",
169.,Rafi Marg,Central Secretariat,09.07.2023,
170.,Rafi Marg,R/A Sunehri Bagh,09.07.2023,
171.,"Rail Bhawan Rafi Marg
R/A",R/A Rail Bhawan Rafi Marg,09.07.2023,

-- Table 2 --
172.,"Rajesh Pilot Marg-
Subramaniam Bharti
Marg",R/A Amrita Shergill,30.05.2023,
173.,Rajpur Road,MCD Chowk,08.07.2023,
174.,Rajpur Road,Towards Tirath Ram Hospital,08.07.2023,
175.,Ram Bagh Road,"Railway under bridge, Azad
Market","08.07.2023
10.07.2023
28.06.2024
09.07.2024
10.07.2024
26.07.2024
27.07.2024
31.07.2024
09.08.2024
20.08.2024",
176.,"Ram Kumar Gautam
Marg",West Vinod Nagar,09.07.2023,
177.,Rani Jhansi Marg,DCM Chowk,09.07.2023,
178.,Rani Jhansi Marg,Filmistan,03.05.2023,
179.,Rani Jhansi Marg,"Y-Point Underpass, Azad
Market",01.04.2023,
180.,Rani Jhansi Road,"Under Rani Jhansi Road
Flyover",06.07.2023,
181.,Ring Road,Ashram Chowk,"30.06.2023
08.07.2023",
182.,Ring Road,AIIMS Loop,"30.03.2023
18.05.2023
09.07.2023",
183.,Ring Road,"Atma Ram Sanatan Dharam
(ARSD) College",27.06.2023,
