"Title: Annexure C - Detail of Outfalling Drains in River Yamuna (Source: Delhi Flood Control Order, 2025 - Page 35)"

Detail of outfalling drains in River Yamuna,,,,,,,
S.NO.,"Name of
Drains","DESIGNED
DISCHARGE","Avg.
Flow
(MLD)
2017
to
2019","Length
of
Drain
(in
KM)","Avg.
Bed
Width
(In
Meter)","Avg.
Depth
(In
Meter)",
"(A) These drains outfalling into the river Yamuna do not have any regulatory
mechanism:",,,,,,,
1,"Najafgarh
Drain (Sahibi
River)",10000,2015.79,57.13,98.00,6.5,
2,"Barapulla
Drain.",4547,146.42,4.22,30.00,2.00,
3,"Shahdara
Outfall Drain",5580,496.12,5.90,59.00,3.50,
4,"Tamoor Nagar
Drain/Maharani
Bagh/ Nallah
No. 17",450,26.95,0.80,13.00,2.20,
5,"Jaitpur / Ali
Drain",,19.82,2.78,35.00,4.00,
"(B) The other drains outfalling into the river Yamuna which have proper
regulatory mechanism at its outfall are as under:",,,,,,,
6,"Magazine Road
Drain",-,5.80,0.26,1.10,1.85,
7,"Old
Chandrawal
Drain",-,-,0.38,1.12,1.05,
8,"Khyber Pass
Drain",64,1.3,1.15,3.00,1.50,
9,"Metcalf House
Drain",101,4.62,1.20,2.00,1.75,
10,"Qudsia Ghat
Drain+ Mori
Gate",215,44.71,1.20,3.70,2.00,
11,"Tonga Stand
Drain",110,7.89,0.49,2.70,1.50,
12,"Vijay Ghat
Drain",90,-,0.78,5.00,1.20,
13,"Civil Military
Drain",292.5,8.68,1.09,5.00,1.70,
14,"Delhi Gate
Drain/Power",619,57.11,1.83,15.00,2.00,
