"Title: Sahibi / Najafgarh Drain - Dhansa Bund (Source: Delhi Flood Control Order, 2025 - Page 44)"

Year,"Location
with RD","Max.
Discharge
recorded
(in cusec)","1
Channel","2
Channel","3
Channel",Remark
2018,"Dhansa New
Regulator
RD-0","2104
(01.10.2018)","U/S
210.500
D/S
210.300","U/S
210.325
D/S
210.225","U/S
210.325
D/S
210.325",
2019,"Dhansa New
Regulator
RD-0","167
(21.08.2019)","U/S
209.875
D/S
209.450","U/S
209.800
D/S
209.700","U/S
209.500
D/S
-",
2020,"Dhansa New
Regulator
RD-0","3668
(21.08.2020)","U/S
210.750
D/S
210.700","U/S
210.700
D/S
210.650","U/S
210.700
D/S
-",
2021,"Dhansa New
Regulator
RD-0","4878
(17.09.2021)","U/S
210.950
D/S
210.925","U/S
210.925
D/S
210.850","U/S
210.950
D/S
-",
"2022
till
date","Dhansa New
Regulator
RD-0","5452
(09.10.2022)","U/S
211.050
D/S
211.050","U/S
211.050
D/S
210.950","U/S
211.050
D/S
-",
