"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 59)"

23.,Ring Road,Moti Bagh to Dhaula Kuan,17.06.2022,
24.,"M.B. Road (Mehrauli-
Badarpur Road)","Pul Prahladpur Railway
Underpass both carriageway","21.06.2022
30.06.2022",

-- Table 2 --
25.,Road No. 13A,Shaheen Bagh Market,21.06.2022,
26.,--,"Palla Village on the
carriageway from Singhu
Border to Mukarba side",30.06.2022,
27.,--,"Rohini Sector-24/25 Dividing
Road",30.06.2022,
28.,--,"Under Sukhdev Vihar Metro
Station",30.06.2022,
29.,"Akbar Road – Maulana
Azad Road","Akbar Road roundabout
Maulana Azad Road",30.06.2022,
30.,Anuvrat Marg,"Infront of Qutub Minar
Metro Station to SSN Marg","19.08.2018
30.06.2022
08.07.2023
09.07.2023",
31.,Ashok Vihar Road,Bartan Market,"11.09.2021
30.06.2022",
32.,Aurobindo Marg,"Adhchini Red light/ T-Point/
Adhchini to PTS Maliva
Nagar","30.06.2022
05.08.2022
23.09.2022
24.09.2022
08.07.2023
09.07.2023
27.05.2023
30.05.2023
09.07.2023",
33.,Aurobindo Marg,"Essex Farm towards Mother
International School (both
carriageway)","21.07.2019
30.06.2022",
34.,Aurobindo Marg,Under AIIMS Flyover/INA,"13.07.2018
30.06.2022
20.07.2022
22.09.2022
03.05.2023
27.05.2023
30.05.2023
08.07.2023
09.07.2023",
35.,Azad Market Road,Azad Market Underpass,"30.06.2022
20.07.2022",
36.,Barapulla Flyover,Barapulla Flyover,30.06.2022,
37.,Bhairon Marg,"Near Gate No. 4 Pragati
Maidan","30.06.2022
20.07.2022
09.10.2022",
38.,Chhawla Road,"Chhawla Stand to BDO
Office Road",30.06.2022,
39.,Dhaula Kuan,Dhaula Kuan,30.06.2022,
40.,"Firni Road, Najafgarh","Dhansa Stand to
Bahadurgarh Stand Road","30.06.2022
11.07.2022
20.07.2022
24.09.2022",
