"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 74)"

184.,Ring Road,"Bharat Darshan Park, Punjabi
Bagh","03.05.2023
27.05.2023
25.06.2023
05.07.2023
08.07.2023
09.07.2023
27.06.2024",
185.,Ring Road,Brar Square Metro Station,08.07.2023,
186.,Ring Road,CNG Pump Sarai Kale Khan,09.07.2023,
187.,Ring Road,Dhaula Kuan Flyover,"09.07.2023
29.08.2024",
188.,Ring Road,"Durga Bai Deshmukh Metro
Station",09.07.2023,
189.,Ring Road,IGI Stadium to Rajghat Chowk,09.07.2023,
190.,Ring Road,Infront of Delhi Secretariate,17.07.2023,
191.,Ring Road,"IP Flyover to Rajghat, Sarai
Kale Khan & Old Police
Headquarters Vikas Marg","26.07.2023
28.06.2024
24.07.2024",
192.,Ring Road,Kela Ghat,"08.07.2023
09.07.2023",
193.,Ring Road,Lajput Nagar Underpass,"08.07.2023
09.07.2023",
194.,Ring Road,Maharani Bagh Bus Stand,09.07.2023,
195.,Ring Road,Maharani Bagh Flyover,30.06.2023,
196.,Ring Road,Mayapuri Chowk,"08.07.2023
27.06.2024
15.07.2024
24.07.2024",
197.,Ring Road,"Moti Bagh to Durga Bai
Deshmukh Metro Station",30.05.2023,
198.,Ring Road,Naraina T-Point,"08.07.2023
15.07.2024",
199.,Ring Road,"Near IGI Stadium, Gate No.22",08.07.2023,
200.,Ring Road,"Near Nizamuddin Khatta, on
both carriageway","08.07.2023
10.11.2023",
201.,Ring Road,Near PS Timarpur,10.07.2023,
202.,Ring Road,Nehru Nagar Bus Stand,08.07.2023,

-- Table 2 --
203.,Ring Road,"Nigam Bodh Ghat, Near ISBT","08.07.2023
09.07.2023
10.07.2023
24.07.2024
26.07.2024
27.07.2024
31.07.2024
20.08.2024",
204.,Ring Road,"Nizamudddin Khatta near
Meerut Expressway","30.06.2023
09.07.2023",
205.,Ring Road,Prem Bari Pul,"08.07.2023
09.07.2023",
206.,Ring Road,Rajghat-Shanti Van,08.07.2023,
207.,Ring Road,"Rajouri Garden Towards
Punjabi Bagh",23.06.2023,
208.,Ring Road,Salimgarh Fort,"09.07.2023
18.07.2023",
