"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 71)"

115.,Najafgarh Road,Uttam Nagar Metro Station,09.07.2023,
116.,Najafgarh Road,Zakhira to Moti Nagar,"10.07.2023
27.06.2024",
117.,"Najafgarh Road-Azad
Hind Fauz Marg",Dwarka Mod,"04.07.2023
09.07.2023",
118.,"Near Zakir Nagar Main
Road",Batla House Chowk,30.06.2023,
119.,Netaji Subhash Marg,4268 Darya Ganj,09.07.2023,

-- Table 2 --
120.,"Netaji Subhash Marg/
BSZ",Delhi Gate,"27.05.2023
08.07.2023
09.07.2023
10.09.2023",
121.,New Rohtak Road,"Near Gali No.10, Anand Parbat
at the foot of Flyover","18.03.2023
27.05.2023
08.07.2023
09.07.2023
15.07.2024
22.07.2024
24.07.2024
09.08.2024
23.08.2024",
122.,New Rohtak Road,Under Zakhira Flyover,"27.05.2023
30.03.2023",
123.,NH-24,"Underpass Street No. 3, East
Vinod Nagar",09.07.2023,
124.,"NH-24/Delhi- Meerut
Expressway (DME)",Khichripur,"08.07.2023
09.07.2023",
125.,"NH-24/Delhi- Meerut
Expressway (DME)","Mayur Vihar Phase-II
Underpass","08.07.2023
09.07.2023",
126.,"NH-24/Delhi- Meerut
Expressway (DME)",Murga Mandi Ghazipur,"01.05.2023
27.05.2023
30.05.2023
08.07.2023
09.07.2023
27.06.2024",
127.,NH-48,"Between Sanjay T-Point and
RTR-Point","25.06.2023
30.06.2023",
128.,NH-48,Dhaula Kuan,"09.07.2023
10.07.2023",
129.,NH-48,DKFO Towa rds Gurugram,08.07.2023,
130.,NH-48,Jharela Village,09.07.2023,
131.,NH-48,"Near Loop of Flyover going
towards going towards T3
Airport",09.07.2023,
132.,NH-48,Near Shiv Murti,08.07.2023,
133.,NH-48,"Shankar Vihar towards GGR-
PDR",08.07.2023,
134.,NH-8,"Near Uppal Farm House
towards Gurgaon",23.06.2023,
135.,Noida Link Road,"Akshardham Metro Station and
under flyover ‘U’ turn","08.07.2023
09.07.2023",
136.,Noida Link Road,Chilla Border,09.07.2023,
137.,Okhla Estate Marg,Okhla underpass,"01.05.2023
30.06.2023
08.07.2023
09.07.2023
28.06.2024
30.06.2024",
