"Title: Annexure D - List of River Yamuna Embankments under I&FC Department Control (Source: Delhi Flood Control Order, 2025 - Page 37)"

"Sl.
No.","Name of
Embankment","Length
of
Embank
- ment
in
mtrs.)","Top
Width of
Embank
- ment
(in mtrs.)","Max
Water
Level
1978
(in Mtrs.)","MWL
in
198
8
(in
Mtrs.)","MWL
in
1995
(in Mtrs.)","MWL
in
2010
(in Mtrs.)","MWL
in
2013
(in Mtrs.)","MWL
in
2019
(in Mtrs.)","MWL
in
2023
(in Mtrs.)"
1.,"R.M.E. from
Palla to
Wazirabad",18360,10,"212.350
211.800","213.275
211.750","212.80
211.60","212.30
211.15","212.25
211.275","212.15
211.100","212.750
209.500"
2.,Jagatpur Bund,4388,10,210.000,208.975,209.30,209.375,209.600,208.550,209.900
3.,Yamuna Bazar Bund,600,6,207.600,207.00,207.050,207.200,207.400,206.700,208.780
4.,Yamuna Bazar Wall,1100,"Min. R.L.
of
208.50m
at RD.0m.
to RD
1100m
with
opening
platform",207.600,207.00,207.050,207.200,207.400,206.700,208.780
5.,"Mughal Bund
(Now protected by
Ring Road By pass
from 0 RD to ITO)",2700,25,"208.430
at RD 1800
m 208.45
at RD 2700 m",,,,,,
6.,Power House Bund,2300,8,208.30,,,,,,
7.,"Millenium Bund
(Nizamuddin
Railway Bridge to
Delhi Meerut
Expressway)",1500,10,,,,Top level 208.35,,,
8.,L.M. Bund,6700,20,"208.440
at RD 550 m
208.240
at RD 4578 m
207.425
at RD 6700 m",,,,,,
