"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 62)"

89.,"Raghubir Nagar, Nala
Road","Ghode Wala Mandir,
Raghubir Nagar",30.06.2022,
90.,Rani Jhansi Marg,Azad Market Chowk,30.06.2022,
91.,Ring Road,"At merging point of
Barapullah Flyover & Ring
Road near Sarai Kale Khan",30.06.2022,
92.,Ring Road,"Descending Flyover Raja
Garden towards Mayapuri",30.06.2022,
93.,Ring Road,Maharani bagh,"17.08.2020
30.06.2022",
94.,Ring Road,Near Satya Niketan,"20.07.2019
30.06.2022
18.07.2024
26.07.2024
02.09.2024",
95.,Ring Road,"Nizamuddin Khatta Red
Light","30.06.2022
01.08.2024",

-- Table 2 --
96.,Ring Road,"Safdarjung Hospital near
start of Barapuallah Flyover",30.06.2022
97.,Ring Road,Under Hyatt Hotel Flyover,"20.06.2017
30.06.2022
20.07.2022
28.06.2024"
97.,Ring Road,Under IP Flyover,"19.07.2020
13.08.2020
17.08.2020
28.08.2020
30.06.2022"
99.,Ring Road,"Under Moolchand Flyover
(both carriageway","31.08.2021
11.09.2021
30.06.2022"
100.,Ring Road,"Brar Square Ring Road Delhi
Cantt. Metro Station",30.06.2022
101.,Road No. 201,Rajapuri to Madhu Vihar,30.06.2022
102.,Road No. 201,"Side of Dwarka Palam
Flyover",30.06.2022
103.,Rohtak Road,In front of Lokesh Cinema,30.06.2022
104.,Rohtak Road,"Metro Pillar No. 422 to 427
Rajdhani Park/ Pillar No.
485 to 515 Rajdhani Park/
Near Rajdhani Park Metro
Station","22.06.2020
17.08.2020
14.07.2021
19.05.2021
13.07.2021
19.07.2021
28.07.2021
08.08.2021
31.08.2021
11.09.2021
30.06.2022
24.09.2022
08.10.2022
09.10.2022"
105.,Rohtak Road,Tikri Border,"21.07.2019
16.08.2019
19.07.2021
01.08.2021
30.06.2022"
