"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 77)"

259.,"Sunheri Bagh- Rafi
Marg",R/A RML Hospital,09.07.2023,

-- Table 2 --
260.,Sunheri Masjid R/A,R/A Sunheri Masjid,09.07.2023,
261.,Suraj Kund Road,Near MCD Toll,30.03.2023,
262.,"Surajkund Road
(towards Sangam
Vihar)","Near Dr.Karni Singh Shooting
Range Red Light near Border",01.04.2023,
263.,Surajmal Marg,"Karkardooma Court, Gate No.-
1",08.07.2023,
264.,"Swami Dayanand
Marg",Bihari Colony,08.07.2023,
265.,Talkatora Road,RML Hospital,09.07.2023,
266.,Teen Murti Haifa Marg,Haifa Chowk,09.07.2023,
267.,Teen Murti Marg,R/A GKP,"08.07.2023
09.07.2023",
268.,Ulan Batar Marg,"Mehram Nagar
Opp.PalamAirpot",09.07.2023,
269.,"Urban Extension Road
II (UER-II)","Samalkha crossing Pushpanjali
Farms",09.07.2023,
270.,"Veer Banda Bairagi
Marg/ Rani Jhansi
Marg",Azad Market,"01.04.2023
09.07.2023",
271.,Vikas Marg,Laxmi Nagar,09.07.2023,
272.,Vikas Marg,Shakkarpur Laxmi Nagar,09.07.2023,
273.,Vikas Marg,Under IP Flyover,08.07.2023,
274.,Vikas Marg,Vijay Chowk to Laxmi Nagar,09.07.2023,
275.,Vikas Marg,Vijay Chowk to Nirman Vihar,09.07.2023,
276.,Vikas Marg,"Yamuna Bank underpass,
Akshardham to Geeta Colony",09.07.2023,
277.,Vinay Marg,Ashoka Hotel,09.07.2023,
278.,Vir Banda Bairagi Marg,Inder Lok Chowk,08.07.2023,
279.,Vir Banda Bairagi Marg,Indra Colony Daya Basti,08.07.2023,
280.,Vir Banda Bairagi Marg,RUB Zakhira Shahzada Bagh,"08.07.2023
09.07.2023",
281.,Wazirabad Road,"Service Road Opposite of ITI,
Nand Nagri","27.05.2023
08.07.2023",
282.,Wazirabad Road,"Under Loni Flyover towards
Bhopura",08.07.2023,
283.,Wazirabad Road,"Wazirabad to Bhajanpura Road
to Dayal Pur",08.07.2023,
284.,Wazirabad Road,"Wazirabad to service road
near T.R. Sahani in front of
Maruti Showroom",08.07.2023,
285.,Motilal Nehru Marg,Sunehri Bagh Masjid,11.09.2023,
286.,Rohtak Road,Pillar No.488 to 507,23.09.2023,
287.,GT Road,Shyam Lal College,23.09.2023,
