"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 61)"

61.,"M.B. Road (Mehrauli-
Badarpur Road)","Vayusenabad to Batra
Hospital","28.06.2017
31.07.2017
23.09.2017
19.07.2020
17.08.2020
19.08.2020
28.08.2020
30.06.2022",
62.,"M.G. Road (Mehrauli-
Gurugram Road)","Ghitorni Market (Mehrauli to
Gurugram carriageway)",30.06.2022,
63.,Maharaja Ajmeed Marg,Near PS Preet Vihar,30.06.2022,
64.,Malkaganj Road,--,30.06.2022,
65.,"Mangolpuri- Udhyog
Nagar underpass road","Mangolpuri- Udhyog Nagar
underpass road",30.06.2022,
66.,Mata Mandir Road,"Mata Mandir Road, NFC",30.06.2022,

-- Table 2 --
67.,Mathura Road,Ashram to Bhogal side,30.06.2022,
68.,Mathura R oad,Near Aali Village Red light,"10.08.2018
01.09.2018
30.06.2022",
69.,Mathura Road,Opposite Pragati Maidan,30.06.2022,
70.,Mathura Road,"Under Badarpur Flyover
near NTPC both carriageway",30.06.2022,
71.,MGM Road,"Rajghat to Shanti Van
carriageway",30.06.2022,
72.,Najafgarh Road,"Vikaspuri More redlight,
Najafgarh Road",30.06.2022,
73.,Narela Bawana Road,Bawana Chowk,"30.06.2022
28.07.2022",
74.,NH-8,"Mahipalpur Flyover toop
towards Gurugram",30.06.2022,
75.,Old GT Road,Near Barafkhana,30.06.2022,
76.,Old GTK Road,Old Iron Bridge,30.06.2022,
77.,Old Palam Road,Under RTR Flyover,30.06.2022,
78.,Old Patparganj Road,Under Railway Bridge,30.06.2022,
79.,"Old Patparganj Road
underpass Pandav
Nagar","Mother Dairy towards old PS
Pandav Nagar both
carriageway",30.06.2022,
80.,Outer Ring Road,"Bus Stand near District
Centre Flyover",30.06.2022,
81.,Outer Ring Road,"Chirag Delhi redlight
towards Sheikh Sarai",30.06.2022,
82.,Outer Ring Road,"Deepali Chowk to Madhuban
Chowk",30.06.2022,
83.,Outer Ring Road,"GK-1 Metro Station Savitri
Flyover both carriageway","30.06.2017
31.08.2017
30.06.2022",
84.,Outer Ring Road,"Slip Road from the start of
Munirka T-Point",30.06.2022,
85.,Pankha Road,"Pankha Road before
Pedestrian Bridge",30.06.2022,
86.,Press Enclave Road,"Gate No. 5, Max Hospital",30.06.2022,
87.,Press Enclave Road,"Opposite Select City Walk
Mall",30.06.2022,
88.,"Pusa Road- Vande
Matram Marg","Roundabout Bagga and
surrounding area of Baba
Lal Dayal Chowk","30.06.2022
08.10.2022",
