"Title: Annexure B - Catchment Data: Trans Yamuna Area (North East, East Delhi, Shahdara) (Source: Delhi Flood Control Order, 2025 - Page 34)"

"4. Trans Yamuna Area - North East, East Delhi and Shahdara",,,,,
1. Trunk Drain No. I,13.39,25.7,6660,86,3037
2. Trunk Drain No. II,4.55,10.58,2740,50,1766
3. Shahdara Outfall Drain,5.90,23.55,6099,157.50,5562
4. Ghazipur Drain,6.15,26.03,6741.9,145.63,5143
5. Shahdara Link Drain,4.56,0.58,151.70,32.83,1159
6. Karawal Nagar Drain,2.48,0.05,12.5,14.10,498
7. Biharipur Drain,1,0.06,14.56,0.93,33
8. Bund Drain,3.45,0.66,170.44,6.00,212
9. Escape Drain No. I,2.98,0.39,100,8.00,283
10. Escape Drain No. II,0.45,0.03,9.06,1.00,35
11. Relief Drain,2.18,1.93,500,0.11,4.00
12. Shastri Park Drain,0.680,,,,
13.Sonia Vihar Drain,3.800,,,,
5. Mehrauli Block - South Delhi,,,,,
1. Ali Drain,2.780,9126,3693,78.80,2500
2. Asola Drain,3.39,3.67,951.05,6.65,235
3. Molar Bund Extension Drain,1.38,0.19,48.56,1.70,60
4. Sarita Vihar Drain,1.30,5.00,1294.99,58.91,2070
"5. Barapullah Nallah Portion Lala
Lajpatrai Marg (Jangpura
Extn.) to Outer Ring Road",2.00,-,-,-,-
6. Tehkhand Drain,5.50,1.20,-,52.27-,
7. Tuglakabad Drain,4.00,1.60,4615.00,-,
