"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 64)"

122.,"Mahipalpur-
Mehrauli road",Mahipalpur Chowk,20.07.2022,
123.,Manas Marg,Near T-Point,20.07.2022,
124.,"Mother Teresa Crescent
Road",Round about Teen Murti,"01.09.2021
20.07.2022
08.07.2023
09.07.2023",
125.,NH-8,Rangpuri Chowk,20.07.2022,
126.,Old Gurugram Road,Kapashera Chowk,20.07.2022,
127.,Outer Ring Road,Munirka Bus Stand,"20.07.2022
08.10.2022",
128.,Outer Ring Road,Near Neb Sarai Bus Stand,20.07.2022,
129.,Outer Ring Road,Under Savitri Flyover,"20.07.2022
31.07.2024",
130.,Panchsheel Marg,Near Roundabout,20.07.2022,
131.,Ring Road,Mool Chand Underpass,20.07.2022,
132.,Ring Road,Under Dhaula Kuan Flyover,20.07.2022,
133.,Ulan Batar Marg,Near NSG Redlight,20.07.2022,

-- Table 2 --
134.,Vikas Marg,"Near Nirman Vihar Metro
Station",20.07.2022,
135.,Bawana Road,Maharishi Balmiki Hospital,28.07.2022,
136.,Satya Niketan Road,Durga Bai South Campus,28.07.2022,
137.,Jai Singh Road,"Police Headquarters Gate
No. 3",08.10.2022,
138.,Lala Lajpat Rai Marg,Lajpat Nagar Metro Station,"07.08.2017
23.09.2017
21.08.2021
08.10.2022",
139.,Lala Lajpat Rai Marg,Lodhi Flyover Foot,08.10.2022,
140.,Najafgarh-Nangloi Road,Near Banke Bihari Sweets,08.10.2022,
141.,Ring Road,Moti Bagh Loop,08.10.2022,
142.,Ring Road,"Near BSES office Dhaula
Kuan",08.10.2022,
143.,Rohtak Road,Peeragarhi Chowk,"16.07.2018
28.08.2018
08.10.2022
30.03.2023",
144.,Dwarka Road,Dwarka Court Sector-9 & 10,09.10.2022,
145.,Okhla Estate Marg,"Sarita Vihar Metro Station
underpass","26.07.2018
27.07.2018
09.10.2022",
146.,Ring Road,Ashram to Kilokari Road,09.10.2022,
147.,Ring Road,Dhaula Kuan BSES Gate,09.10.2022,
148.,M.B. Road,"Khanpur T-Point to Hamdard
T-Point both carriageway","13.07.2018
22.07.2018
07.08.2018
10.08.2018
19.08.2018
23.08.2018
28.08.2018
01.09.2018
03.09.2018
06.09.2018
24.09.2018
22.10.2022",
